district_code,origin_state,pct_share,source_method
AL-05,Oregon,0.2222865880355928,State_Proxy
AL-05,Pennsylvania,2.3185164727833647,State_Proxy
AL-05,Rhode Island,0.019534275918279366,State_Proxy
AL-05,South Carolina,4.491536269761615,State_Proxy
AL-05,South Dakota,0.2256545666421927,State_Proxy
AL-05,Tennessee,7.801585644327987,State_Proxy
AL-05,Texas,6.941403908202375,State_Proxy
AL-05,Utah,0.38866473120162737,State_Proxy
AL-05,Vermont,0.20005792923203353,State_Proxy
AL-05,Virginia,2.4990401260971193,State_Proxy
AL-05,Washington,2.064570885845733,State_Proxy
AL-05,West Virginia,0.2377792896259523,State_Proxy
AL-05,Wisconsin,0.26674390564271133,State_Proxy
AL-05,Puerto Rico,0.2990765002660703,State_Proxy
AL-06,Alaska,0.42975407020214607,State_Proxy
AL-06,Arizona,0.7914749725509743,State_Proxy
AL-06,Arkansas,1.1680149807688422,State_Proxy
AL-06,California,5.5369568292502205,State_Proxy
AL-06,Colorado,2.099597863354372,State_Proxy
AL-06,Connecticut,0.3900119226442674,State_Proxy
AL-06,Delaware,2.331988387209764,State_Proxy
AL-06,DC,0.21218265221579313,State_Proxy
AL-06,Florida,11.602012704015303,State_Proxy
AL-06,Georgia,16.04505008184188,State_Proxy
AL-06,Hawaii,1.073037984062725,State_Proxy
AL-06,Idaho,0.5617788315808618,State_Proxy
AL-06,Illinois,4.139919303232586,State_Proxy
AL-06,Indiana,1.2602975945896793,State_Proxy
AL-06,Iowa,0.2741534585772311,State_Proxy
AL-06,Kansas,1.3667257185582358,State_Proxy
AL-06,Kentucky,2.375098513374243,State_Proxy
AL-06,Louisiana,2.893767218790626,State_Proxy
AL-06,Maine,0.08217867800103734,State_Proxy
AL-06,Maryland,0.5193423011377032,State_Proxy
AL-06,Massachusetts,0.3307354991681093,State_Proxy
AL-06,Michigan,0.8110092484692537,State_Proxy
AL-06,Minnesota,0.21959220515031289,State_Proxy
AL-06,Mississippi,4.222771576954943,State_Proxy
AL-06,Missouri,1.0676492182921655,State_Proxy
AL-06,Montana,0.1394343143132355,State_Proxy
AL-06,Nebraska,0.09969216675535678,State_Proxy
AL-06,Nevada,0.06264440208275797,State_Proxy
AL-06,New Hampshire,0.9706514344220886,State_Proxy
AL-06,New Jersey,0.4250389001529063,State_Proxy
AL-06,New Mexico,0.6789844870905379,State_Proxy
AL-06,New York,1.9615107404837764,State_Proxy
AL-06,North Carolina,2.6054682500656754,State_Proxy
AL-06,North Dakota,0.6810052742544979,State_Proxy
AL-06,Ohio,1.8705753181055793,State_Proxy
AL-06,Oklahoma,0.7234418046976565,State_Proxy
AL-06,Oregon,0.2222865880355928,State_Proxy
AL-06,Pennsylvania,2.3185164727833647,State_Proxy
AL-06,Rhode Island,0.019534275918279366,State_Proxy
AL-06,South Carolina,4.491536269761615,State_Proxy
AL-06,South Dakota,0.2256545666421927,State_Proxy
AL-06,Tennessee,7.801585644327987,State_Proxy
AL-06,Texas,6.941403908202375,State_Proxy
AL-06,Utah,0.38866473120162737,State_Proxy
AL-06,Vermont,0.20005792923203353,State_Proxy
AL-06,Virginia,2.4990401260971193,State_Proxy
AL-06,Washington,2.064570885845733,State_Proxy
AL-06,West Virginia,0.2377792896259523,State_Proxy
AL-06,Wisconsin,0.26674390564271133,State_Proxy
AL-06,Puerto Rico,0.2990765002660703,State_Proxy
AL-07,Alaska,0.42975407020214607,State_Proxy
AL-07,Arizona,0.7914749725509743,State_Proxy
AL-07,Arkansas,1.1680149807688422,State_Proxy
AL-07,California,5.5369568292502205,State_Proxy
AL-07,Colorado,2.099597863354372,State_Proxy
AL-07,Connecticut,0.3900119226442674,State_Proxy
AL-07,Delaware,2.331988387209764,State_Proxy
AL-07,DC,0.21218265221579313,State_Proxy
AL-07,Florida,11.602012704015303,State_Proxy
AL-07,Georgia,16.04505008184188,State_Proxy
AL-07,Hawaii,1.073037984062725,State_Proxy
AL-07,Idaho,0.5617788315808618,State_Proxy
AL-07,Illinois,4.139919303232586,State_Proxy
AL-07,Indiana,1.2602975945896793,State_Proxy
AL-07,Iowa,0.2741534585772311,State_Proxy
AL-07,Kansas,1.3667257185582358,State_Proxy
AL-07,Kentucky,2.375098513374243,State_Proxy
AL-07,Louisiana,2.893767218790626,State_Proxy
AL-07,Maine,0.08217867800103734,State_Proxy
AL-07,Maryland,0.5193423011377032,State_Proxy
AL-07,Massachusetts,0.3307354991681093,State_Proxy
AL-07,Michigan,0.8110092484692537,State_Proxy
AL-07,Minnesota,0.21959220515031289,State_Proxy
AL-07,Mississippi,4.222771576954943,State_Proxy
AL-07,Missouri,1.0676492182921655,State_Proxy
AL-07,Montana,0.1394343143132355,State_Proxy
AL-07,Nebraska,0.09969216675535678,State_Proxy
AL-07,Nevada,0.06264440208275797,State_Proxy
AL-07,New Hampshire,0.9706514344220886,State_Proxy
AL-07,New Jersey,0.4250389001529063,State_Proxy
AL-07,New Mexico,0.6789844870905379,State_Proxy
AL-07,New York,1.9615107404837764,State_Proxy
AL-07,North Carolina,2.6054682500656754,State_Proxy
AL-07,North Dakota,0.6810052742544979,State_Proxy
AL-07,Ohio,1.8705753181055793,State_Proxy
AL-07,Oklahoma,0.7234418046976565,State_Proxy
AL-07,Oregon,0.2222865880355928,State_Proxy
AL-07,Pennsylvania,2.3185164727833647,State_Proxy
AL-07,Rhode Island,0.019534275918279366,State_Proxy
AL-07,South Carolina,4.491536269761615,State_Proxy
AL-07,South Dakota,0.2256545666421927,State_Proxy
AL-07,Tennessee,7.801585644327987,State_Proxy
AL-07,Texas,6.941403908202375,State_Proxy
AL-07,Utah,0.38866473120162737,State_Proxy
AL-07,Vermont,0.20005792923203353,State_Proxy
AL-07,Virginia,2.4990401260971193,State_Proxy
AL-07,Washington,2.064570885845733,State_Proxy
AL-07,West Virginia,0.2377792896259523,State_Proxy
AL-07,Wisconsin,0.26674390564271133,State_Proxy
AL-07,Puerto Rico,0.2990765002660703,State_Proxy
AR-01,Alabama,1.3760894514959716,State_Proxy
AR-01,Alaska,0.1295410383736918,State_Proxy
AR-01,Arizona,1.9590241241775848,State_Proxy
AR-01,California,7.827005897526221,State_Proxy
AR-01,Colorado,3.665784120995875,State_Proxy
AR-01,Connecticut,0.1124961649034692,State_Proxy
AR-01,Delaware,0.6329329681942661,State_Proxy
AR-01,Florida,8.197447814279059,State_Proxy
AR-01,Georgia,1.3749531265979569,State_Proxy
AR-01,Hawaii,0.03181709714441553,State_Proxy
AR-01,Idaho,1.3897253502721498,State_Proxy
AR-01,Illinois,4.480529072872516,State_Proxy
AR-01,Indiana,1.728350169880572,State_Proxy
AR-01,Iowa,0.42839448655159484,State_Proxy
AR-01,Kansas,1.4397236457848028,State_Proxy
AR-01,Kentucky,4.179402974898583,State_Proxy
AR-01,Louisiana,5.185050509641717,State_Proxy
AR-01,Maine,0.1295410383736918,State_Proxy
AR-01,Maryland,0.8351988000409076,State_Proxy
AR-01,Massachusetts,0.03749872163448973,State_Proxy
AR-01,Michigan,0.49657398043248524,State_Proxy
AR-01,Minnesota,1.6703976000818153,State_Proxy
AR-01,Mississippi,2.0624296898969354,State_Proxy
AR-01,Missouri,5.114598365964797,State_Proxy
AR-01,Montana,0.1602218106200925,State_Proxy
AR-01,Nebraska,0.2534004522573094,State_Proxy
AR-01,Nevada,0.16249446041612217,State_Proxy
AR-01,New Hampshire,2.8589934434053386,State_Proxy
AR-01,New Jersey,0.5795256979875686,State_Proxy
AR-01,New Mexico,1.6669886253877708,State_Proxy
AR-01,New York,0.67611331431883,State_Proxy
AR-01,North Carolina,0.21022010613274544,State_Proxy
AR-01,Ohio,0.9988295853550446,State_Proxy
