year,state_po,state,state_fips,district,district_code,totalvotes,total_candidatevotes
1982,AR,ARKANSAS,5,3,AR-03,202998,202998
1984,AR,ARKANSAS,5,3,AR-03,1,1
1986,AR,ARKANSAS,5,3,AR-03,181856,181856
1988,AR,ARKANSAS,5,3,AR-03,216390,216390
1990,AR,ARKANSAS,5,3,AR-03,184208,184208
1992,AR,ARKANSAS,5,3,AR-03,249494,249494
1994,AR,ARKANSAS,5,3,AR-03,191683,191683
1996,AR,ARKANSAS,5,3,AR-03,246132,246132
1998,AR,ARKANSAS,5,3,AR-03,191697,191697
2000,AR,ARKANSAS,5,3,AR-03,1,1
2002,AR,ARKANSAS,5,3,AR-03,143055,143055
2004,AR,ARKANSAS,5,3,AR-03,270803,270803
2006,AR,ARKANSAS,5,3,AR-03,200924,200924
2008,AR,ARKANSAS,5,3,AR-03,274046,274046
2010,AR,ARKANSAS,5,3,AR-03,205123,205123
2012,AR,ARKANSAS,5,3,AR-03,245660,245660
2014,AR,ARKANSAS,5,3,AR-03,190935,190935
2016,AR,ARKANSAS,5,3,AR-03,280907,280907
2018,AR,ARKANSAS,5,3,AR-03,229708,229708
2020,AR,ARKANSAS,5,3,AR-03,334262,334262
2022,AR,ARKANSAS,5,3,AR-03,223588,223588
2024,AR,ARKANSAS,5,3,AR-03,301084,301084
1976,AR,ARKANSAS,5,4,AR-04,1,1
1978,AR,ARKANSAS,5,4,AR-04,1,1
1980,AR,ARKANSAS,5,4,AR-04,1,1
1982,AR,ARKANSAS,5,4,AR-04,184917,184917
1984,AR,ARKANSAS,5,4,AR-04,119639,119639
1986,AR,ARKANSAS,5,4,AR-04,148924,148924
1988,AR,ARKANSAS,5,4,AR-04,187166,187166
1990,AR,ARKANSAS,5,4,AR-04,152495,152495
1992,AR,ARKANSAS,5,4,AR-04,215927,215927
1994,AR,ARKANSAS,5,4,AR-04,168839,168839
1996,AR,ARKANSAS,5,4,AR-04,198347,198347
1998,AR,ARKANSAS,5,4,AR-04,160540,160540
2000,AR,ARKANSAS,5,4,AR-04,212160,212160
2002,AR,ARKANSAS,5,4,AR-04,197537,197537
2004,AR,ARKANSAS,5,4,AR-04,1,1
2006,AR,ARKANSAS,5,4,AR-04,171596,171596
2008,AR,ARKANSAS,5,4,AR-04,235781,235781
2010,AR,ARKANSAS,5,4,AR-04,178134,178134
2012,AR,ARKANSAS,5,4,AR-04,258953,258953
2014,AR,ARKANSAS,5,4,AR-04,206131,206131
2016,AR,ARKANSAS,5,4,AR-04,244159,244159
2018,AR,ARKANSAS,5,4,AR-04,204892,204892
2020,AR,ARKANSAS,5,4,AR-04,275035,275035
2022,AR,ARKANSAS,5,4,AR-04,216696,216696
2024,AR,ARKANSAS,5,4,AR-04,270253,270253
1976,AZ,ARIZONA,4,1,AZ-01,168119,168119
1978,AZ,ARIZONA,4,1,AZ-01,114286,114286
1980,AZ,ARIZONA,4,1,AZ-01,186833,186833
1982,AZ,ARIZONA,4,1,AZ-01,135227,135227
1984,AZ,ARIZONA,4,1,AZ-01,208027,208027
1986,AZ,ARIZONA,4,1,AZ-01,178533,178533
1988,AZ,ARIZONA,4,1,AZ-01,256027,256027
1990,AZ,ARIZONA,4,1,AZ-01,167016,167016
1992,AZ,ARIZONA,4,1,AZ-01,254789,254789
1994,AZ,ARIZONA,4,1,AZ-01,180867,180867
1996,AZ,ARIZONA,4,1,AZ-01,225372,225372
1998,AZ,ARIZONA,4,1,AZ-01,152948,152948
2000,AZ,ARIZONA,4,1,AZ-01,229971,229971
2002,AZ,ARIZONA,4,1,AZ-01,174687,174687
2004,AZ,ARIZONA,4,1,AZ-01,253351,253351
2006,AZ,ARIZONA,4,1,AZ-01,204139,204139
2008,AZ,ARIZONA,4,1,AZ-01,278787,278787
2010,AZ,ARIZONA,4,1,AZ-01,226918,226918
2012,AZ,ARIZONA,4,1,AZ-01,251595,251595
2014,AZ,ARIZONA,4,1,AZ-01,185114,185114
2016,AZ,ARIZONA,4,1,AZ-01,280710,280710
2018,AZ,ARIZONA,4,1,AZ-01,266089,266089
2020,AZ,ARIZONA,4,1,AZ-01,365178,365178
2022,AZ,ARIZONA,4,1,AZ-01,361477,361477
2024,AZ,ARIZONA,4,1,AZ-01,434504,434504
1976,AZ,ARIZONA,4,2,AZ-02,182128,182128
1978,AZ,ARIZONA,4,2,AZ-02,129197,129197
1980,AZ,ARIZONA,4,2,AZ-02,219686,219686
1982,AZ,ARIZONA,4,2,AZ-02,103674,103674
1984,AZ,ARIZONA,4,2,AZ-02,121215,121215
1986,AZ,ARIZONA,4,2,AZ-02,105407,105407
1988,AZ,ARIZONA,4,2,AZ-02,136204,136204
1990,AZ,ARIZONA,4,2,AZ-02,116179,116179
1992,AZ,ARIZONA,4,2,AZ-02,137378,137378
1994,AZ,ARIZONA,4,2,AZ-02,100446,100446
1996,AZ,ARIZONA,4,2,AZ-02,126101,126101
1998,AZ,ARIZONA,4,2,AZ-02,84363,84363
2000,AZ,ARIZONA,4,2,AZ-02,122605,122605
2002,AZ,ARIZONA,4,2,AZ-02,167502,167502
2004,AZ,ARIZONA,4,2,AZ-02,279303,279303
2006,AZ,ARIZONA,4,2,AZ-02,230560,230560
2008,AZ,ARIZONA,4,2,AZ-02,338023,338023
2010,AZ,ARIZONA,4,2,AZ-02,266894,266894
2012,AZ,ARIZONA,4,2,AZ-02,292279,292279
2014,AZ,ARIZONA,4,2,AZ-02,219351,219351
2016,AZ,ARIZONA,4,2,AZ-02,315679,315679
2018,AZ,ARIZONA,4,2,AZ-02,294152,294152
2020,AZ,ARIZONA,4,2,AZ-02,381054,381054
2022,AZ,ARIZONA,4,2,AZ-02,323396,323396
2024,AZ,ARIZONA,4,2,AZ-02,406431,406431
1976,AZ,ARIZONA,4,3,AZ-03,187165,187165
1978,AZ,ARIZONA,4,3,AZ-03,131663,131663
1980,AZ,ARIZONA,4,3,AZ-03,219822,219822
1982,AZ,ARIZONA,4,3,AZ-03,159842,159842
1984,AZ,ARIZONA,4,3,AZ-03,218328,218328
1986,AZ,ARIZONA,4,3,AZ-03,146462,146462
1988,AZ,ARIZONA,4,3,AZ-03,253330,253330
1990,AZ,ARIZONA,4,3,AZ-03,237297,237297
1992,AZ,ARIZONA,4,3,AZ-03,258503,258503
1994,AZ,ARIZONA,4,3,AZ-03,207335,207335
1996,AZ,ARIZONA,4,3,AZ-03,263445,263445
1998,AZ,ARIZONA,4,3,AZ-03,204623,204623
2000,AZ,ARIZONA,4,3,AZ-03,301970,301970
2002,AZ,ARIZONA,4,3,AZ-03,155751,155751
2004,AZ,ARIZONA,4,3,AZ-03,225974,225974
2006,AZ,ARIZONA,4,3,AZ-03,189849,189849
2008,AZ,ARIZONA,4,3,AZ-03,275161,275161
2010,AZ,ARIZONA,4,3,AZ-03,208071,208071
2012,AZ,ARIZONA,4,3,AZ-03,168698,168698
2014,AZ,ARIZONA,4,3,AZ-03,104428,104428
2016,AZ,ARIZONA,4,3,AZ-03,151035,151035
2018,AZ,ARIZONA,4,3,AZ-03,179518,179518
2020,AZ,ARIZONA,4,3,AZ-03,269837,269837
2022,AZ,ARIZONA,4,3,AZ-03,141074,141074
2024,AZ,ARIZONA,4,3,AZ-03,202065,202065
1976,AZ,ARIZONA,4,4,AZ-04,191590,191590
1978,AZ,ARIZONA,4,4,AZ-04,143836,143836
1980,AZ,ARIZONA,4,4,AZ-04,227611,227611
1982,AZ,ARIZONA,4,4,AZ-04,145466,145466
1984,AZ,ARIZONA,4,4,AZ-04,167615,167615
1986,AZ,ARIZONA,4,4,AZ-04,188833,188833
1988,AZ,ARIZONA,4,4,AZ-04,236678,236678
1990,AZ,ARIZONA,4,4,AZ-04,231238,231238
1992,AZ,ARIZONA,4,4,AZ-04,264066,264066
1994,AZ,ARIZONA,4,4,AZ-04,193902,193902
1996,AZ,ARIZONA,4,4,AZ-04,225343,225343
1998,AZ,ARIZONA,4,4,AZ-04,158822,158822
2000,AZ,ARIZONA,4,4,AZ-04,219497,219497
2002,AZ,ARIZONA,4,4,AZ-04,66065,66065
2004,AZ,ARIZONA,4,4,AZ-04,110027,110027
2006,AZ,ARIZONA,4,4,AZ-04,77861,77861
2008,AZ,ARIZONA,4,4,AZ-04,124427,124427
2010,AZ,ARIZONA,4,4,AZ-04,91907,91907
2012,AZ,ARIZONA,4,4,AZ-04,243760,243760
2014,AZ,ARIZONA,4,4,AZ-04,175179,175179
2016,AZ,ARIZONA,4,4,AZ-04,284783,284783
2018,AZ,ARIZONA,4,4,AZ-04,277035,277035
2020,AZ,ARIZONA,4,4,AZ-04,398623,398623
2022,AZ,ARIZONA,4,4,AZ-04,265498,265498
2024,AZ,ARIZONA,4,4,AZ-04,334545,334545
1982,AZ,ARIZONA,4,5,AZ-05,166802,166802
1984,AZ,ARIZONA,4,5,AZ-05,227938,227938
1986,AZ,ARIZONA,4,5,AZ-05,184495,184495
1988,AZ,ARIZONA,4,5,AZ-05,242577,242577
1990,AZ,ARIZONA,4,5,AZ-05,214617,214617
1992,AZ,ARIZONA,4,5,AZ-05,259813,259813
1994,AZ,ARIZONA,4,5,AZ-05,220771,220771
1996,AZ,ARIZONA,4,5,AZ-05,260898,260898
1998,AZ,ARIZONA,4,5,AZ-05,201473,201473
2000,AZ,ARIZONA,4,5,AZ-05,287609,287609
2002,AZ,ARIZONA,4,5,AZ-05,169812,169812
2004,AZ,ARIZONA,4,5,AZ-05,268007,268007
2006,AZ,ARIZONA,4,5,AZ-05,202010,202010
2008,AZ,ARIZONA,4,5,AZ-05,280365,280365
2010,AZ,ARIZONA,4,5,AZ-05,212250,212250
2012,AZ,ARIZONA,4,5,AZ-05,273059,273059
2014,AZ,ARIZONA,4,5,AZ-05,179463,179463
2016,AZ,ARIZONA,4,5,AZ-05,320124,320124
2018,AZ,ARIZONA,4,5,AZ-05,313064,313064
2020,AZ,ARIZONA,4,5,AZ-05,445657,445657
2022,AZ,ARIZONA,4,5,AZ-05,321590,321590
2024,AZ,ARIZONA,4,5,AZ-05,423308,423308
1992,AZ,ARIZONA,4,6,AZ-06,233372,233372
1994,AZ,ARIZONA,4,6,AZ-06,196068,196068
1996,AZ,ARIZONA,4,6,AZ-06,255287,255287
1998,AZ,ARIZONA,4,6,AZ-06,201537,201537
2000,AZ,ARIZONA,4,6,AZ-06,304004,304004
2002,AZ,ARIZONA,4,6,AZ-06,156337,156337
2004,AZ,ARIZONA,4,6,AZ-06,255577,255577
2006,AZ,ARIZONA,4,6,AZ-06,203486,203486
2008,AZ,ARIZONA,4,6,AZ-06,334176,334176
2010,AZ,ARIZONA,4,6,AZ-06,249383,249383
2012,AZ,ARIZONA,4,6,AZ-06,293177,293177
2014,AZ,ARIZONA,4,6,AZ-06,199776,199776
2016,AZ,ARIZONA,4,6,AZ-06,324444,324444
2018,AZ,ARIZONA,4,6,AZ-06,313699,313699
2020,AZ,ARIZONA,4,6,AZ-06,417427,417427
2022,AZ,ARIZONA,4,6,AZ-06,349283,349283
2024,AZ,ARIZONA,4,6,AZ-06,431220,431220
2002,AZ,ARIZONA,4,7,AZ-07,103818,103818
2004,AZ,ARIZONA,4,7,AZ-07,175437,175437
2006,AZ,ARIZONA,4,7,AZ-07,131525,131525
2008,AZ,ARIZONA,4,7,AZ-07,196489,196489
2010,AZ,ARIZONA,4,7,AZ-07,159144,159144
2012,AZ,ARIZONA,4,7,AZ-07,127827,127827
2014,AZ,ARIZONA,4,7,AZ-07,72454,72454
2016,AZ,ARIZONA,4,7,AZ-07,158811,158811
2018,AZ,ARIZONA,4,7,AZ-07,132051,132051
2020,AZ,ARIZONA,4,7,AZ-07,215732,215732
2022,AZ,ARIZONA,4,7,AZ-07,195862,195862
2024,AZ,ARIZONA,4,7,AZ-07,271011,271011
2002,AZ,ARIZONA,4,8,AZ-08,200428,200428
2004,AZ,ARIZONA,4,8,AZ-08,303769,303769
2006,AZ,ARIZONA,4,8,AZ-08,253720,253720
2008,AZ,ARIZONA,4,8,AZ-08,328266,328266
2010,AZ,ARIZONA,4,8,AZ-08,283578,283578
2012,AZ,ARIZONA,4,8,AZ-08,272791,272791
2014,AZ,ARIZONA,4,8,AZ-08,169776,169776
2016,AZ,ARIZONA,4,8,AZ-08,298971,298971
2018,AZ,ARIZONA,4,8,AZ-08,304417,304417
2020,AZ,ARIZONA,4,8,AZ-08,422467,422467
2022,AZ,ARIZONA,4,8,AZ-08,204713,204713
2024,AZ,ARIZONA,4,8,AZ-08,368613,368613
2012,AZ,ARIZONA,4,9,AZ-09,250131,250131
2014,AZ,ARIZONA,4,9,AZ-09,162062,162062
2016,AZ,ARIZONA,4,9,AZ-09,277507,277507
2018,AZ,ARIZONA,4,9,AZ-09,261245,261245
2020,AZ,ARIZONA,4,9,AZ-09,352274,352274
2022,AZ,ARIZONA,4,9,AZ-09,197185,197185
2024,AZ,ARIZONA,4,9,AZ-09,382223,382223
1976,CA,CALIFORNIA,6,1,CA-01,217016,217016
1978,CA,CALIFORNIA,6,1,CA-01,210812,210812
1980,CA,CALIFORNIA,6,1,CA-01,270199,270199
1982,CA,CALIFORNIA,6,1,CA-01,216166,216166
1984,CA,CALIFORNIA,6,1,CA-01,252223,252223
1986,CA,CALIFORNIA,6,1,CA-01,204759,204759
1988,CA,CALIFORNIA,6,1,CA-01,254154,254154
1990,CA,CALIFORNIA,6,1,CA-01,230261,230261
1992,CA,CALIFORNIA,6,1,CA-01,251206,251206
1994,CA,CALIFORNIA,6,1,CA-01,200673,200673
