year,state_po,state,state_fips,district,district_code,totalvotes,total_candidatevotes
1988,MI,MICHIGAN,26,17,MI-17,193027,193027
1990,MI,MICHIGAN,26,17,MI-17,132314,132314
1976,MI,MICHIGAN,26,18,MI-18,186195,186195
1978,MI,MICHIGAN,26,18,MI-18,151798,151798
1980,MI,MICHIGAN,26,18,MI-18,207977,207977
1982,MI,MICHIGAN,26,18,MI-18,181262,181262
1984,MI,MICHIGAN,26,18,MI-18,234884,234884
1986,MI,MICHIGAN,26,18,MI-18,149244,149244
1988,MI,MICHIGAN,26,18,MI-18,257228,257228
1990,MI,MICHIGAN,26,18,MI-18,190834,190834
1976,MI,MICHIGAN,26,19,MI-19,197645,197645
1978,MI,MICHIGAN,26,19,MI-19,164298,164298
1980,MI,MICHIGAN,26,19,MI-19,231894,231894
1976,MN,MINNESOTA,27,1,MN-01,231773,231773
1978,MN,MINNESOTA,27,1,MN-01,195929,195929
1980,MN,MINNESOTA,27,1,MN-01,238380,238380
1982,MN,MINNESOTA,27,1,MN-01,213520,213520
1984,MN,MINNESOTA,27,1,MN-01,245837,245837
1986,MN,MINNESOTA,27,1,MN-01,172877,172877
1988,MN,MINNESOTA,27,1,MN-01,229813,229813
1990,MN,MINNESOTA,27,1,MN-01,200663,200663
1992,MN,MINNESOTA,27,1,MN-01,279430,279430
1994,MN,MINNESOTA,27,1,MN-01,213218,213218
1996,MN,MINNESOTA,27,1,MN-01,261062,261062
1998,MN,MINNESOTA,27,1,MN-01,239903,239903
2000,MN,MINNESOTA,27,1,MN-01,283221,283221
2002,MN,MINNESOTA,27,1,MN-01,265982,265982
2004,MN,MINNESOTA,27,1,MN-01,324055,324055
2006,MN,MINNESOTA,27,1,MN-01,268421,268421
2008,MN,MINNESOTA,27,1,MN-01,332400,332400
2010,MN,MINNESOTA,27,1,MN-01,248005,248005
2012,MN,MINNESOTA,27,1,MN-01,335880,335880
2014,MN,MINNESOTA,27,1,MN-01,226695,226695
2016,MN,MINNESOTA,27,1,MN-01,335873,335873
2018,MN,MINNESOTA,27,1,MN-01,291661,291661
2020,MN,MINNESOTA,27,1,MN-01,368856,368856
2022,MN,MINNESOTA,27,1,MN-01,296547,296547
2024,MN,MINNESOTA,27,1,MN-01,377601,377601
1976,MN,MINNESOTA,27,2,MN-02,245810,245810
1978,MN,MINNESOTA,27,2,MN-02,206588,206588
1980,MN,MINNESOTA,27,2,MN-02,260668,260668
1982,MN,MINNESOTA,27,2,MN-02,226751,226751
1984,MN,MINNESOTA,27,2,MN-02,243097,243097
1986,MN,MINNESOTA,27,2,MN-02,194315,194315
1988,MN,MINNESOTA,27,2,MN-02,227701,227701
1990,MN,MINNESOTA,27,2,MN-02,204404,204404
1992,MN,MINNESOTA,27,2,MN-02,276403,276403
1994,MN,MINNESOTA,27,2,MN-02,219785,219785
1996,MN,MINNESOTA,27,2,MN-02,262353,262353
1998,MN,MINNESOTA,27,2,MN-02,261127,261127
2000,MN,MINNESOTA,27,2,MN-02,288900,288900
2002,MN,MINNESOTA,27,2,MN-02,286860,286860
2004,MN,MINNESOTA,27,2,MN-02,365945,365945
2006,MN,MINNESOTA,27,2,MN-02,290540,290540
2008,MN,MINNESOTA,27,2,MN-02,385656,385656
2010,MN,MINNESOTA,27,2,MN-02,286453,286453
2012,MN,MINNESOTA,27,2,MN-02,358446,358446
2014,MN,MINNESOTA,27,2,MN-02,245848,245848
2016,MN,MINNESOTA,27,2,MN-02,370515,370515
2018,MN,MINNESOTA,27,2,MN-02,337968,337968
2020,MN,MINNESOTA,27,2,MN-02,424512,424512
2022,MN,MINNESOTA,27,2,MN-02,325472,325472
2024,MN,MINNESOTA,27,2,MN-02,417319,417319
1976,MN,MINNESOTA,27,3,MN-03,225459,225459
1978,MN,MINNESOTA,27,3,MN-03,195879,195879
1980,MN,MINNESOTA,27,3,MN-03,237261,237261
1982,MN,MINNESOTA,27,3,MN-03,231311,231311
1984,MN,MINNESOTA,27,3,MN-03,283978,283978
1986,MN,MINNESOTA,27,3,MN-03,181729,181729
1988,MN,MINNESOTA,27,3,MN-03,315609,315609
1990,MN,MINNESOTA,27,3,MN-03,292852,292852
1992,MN,MINNESOTA,27,3,MN-03,314731,314731
1994,MN,MINNESOTA,27,3,MN-03,236531,236531
1996,MN,MINNESOTA,27,3,MN-03,293583,293583
1998,MN,MINNESOTA,27,3,MN-03,283309,283309
2000,MN,MINNESOTA,27,3,MN-03,329062,329062
2002,MN,MINNESOTA,27,3,MN-03,296218,296218
2004,MN,MINNESOTA,27,3,MN-03,358892,358892
2006,MN,MINNESOTA,27,3,MN-03,284244,284244
2008,MN,MINNESOTA,27,3,MN-03,369104,369104
2010,MN,MINNESOTA,27,3,MN-03,274092,274092
2012,MN,MINNESOTA,27,3,MN-03,382705,382705
2014,MN,MINNESOTA,27,3,MN-03,269585,269585
2016,MN,MINNESOTA,27,3,MN-03,393457,393457
2018,MN,MINNESOTA,27,3,MN-03,363949,363949
2020,MN,MINNESOTA,27,3,MN-03,443603,443603
2022,MN,MINNESOTA,27,3,MN-03,333921,333921
2024,MN,MINNESOTA,27,3,MN-03,411140,411140
1976,MN,MINNESOTA,27,4,MN-04,200599,200599
1978,MN,MINNESOTA,27,4,MN-04,165385,165385
1980,MN,MINNESOTA,27,4,MN-04,203712,203712
1982,MN,MINNESOTA,27,4,MN-04,209742,209742
1984,MN,MINNESOTA,27,4,MN-04,228071,228071
1986,MN,MINNESOTA,27,4,MN-04,154635,154635
1988,MN,MINNESOTA,27,4,MN-04,250327,250327
1990,MN,MINNESOTA,27,4,MN-04,221396,221396
1992,MN,MINNESOTA,27,4,MN-04,277956,277956
1994,MN,MINNESOTA,27,4,MN-04,210630,210630
1996,MN,MINNESOTA,27,4,MN-04,255759,255759
1998,MN,MINNESOTA,27,4,MN-04,239746,239746
2000,MN,MINNESOTA,27,4,MN-04,271439,271439
2002,MN,MINNESOTA,27,4,MN-04,264540,264540
2004,MN,MINNESOTA,27,4,MN-04,317299,317299
2006,MN,MINNESOTA,27,4,MN-04,247466,247466
2008,MN,MINNESOTA,27,4,MN-04,316018,316018
2010,MN,MINNESOTA,27,4,MN-04,231426,231426
2012,MN,MINNESOTA,27,4,MN-04,347991,347991
2014,MN,MINNESOTA,27,4,MN-04,241637,241637
2016,MN,MINNESOTA,27,4,MN-04,351945,351945
2018,MN,MINNESOTA,27,4,MN-04,328614,328614
2020,MN,MINNESOTA,27,4,MN-04,389114,389114
2022,MN,MINNESOTA,27,4,MN-04,295973,295973
2024,MN,MINNESOTA,27,4,MN-04,361043,361043
1976,MN,MINNESOTA,27,5,MN-05,195596,195596
1978,MN,MINNESOTA,27,5,MN-05,147087,147087
1980,MN,MINNESOTA,27,5,MN-05,180430,180430
1982,MN,MINNESOTA,27,5,MN-05,208452,208452
1984,MN,MINNESOTA,27,5,MN-05,235442,235442
1986,MN,MINNESOTA,27,5,MN-05,144997,144997
1988,MN,MINNESOTA,27,5,MN-05,241798,241798
1990,MN,MINNESOTA,27,5,MN-05,198886,198886
1992,MN,MINNESOTA,27,5,MN-05,277094,277094
1994,MN,MINNESOTA,27,5,MN-05,196172,196172
1996,MN,MINNESOTA,27,5,MN-05,246041,246041
1998,MN,MINNESOTA,27,5,MN-05,217612,217612
2000,MN,MINNESOTA,27,5,MN-05,255145,255145
2002,MN,MINNESOTA,27,5,MN-05,255982,255982
2004,MN,MINNESOTA,27,5,MN-05,313526,313526
2006,MN,MINNESOTA,27,5,MN-05,244905,244905
2008,MN,MINNESOTA,27,5,MN-05,322747,322747
2010,MN,MINNESOTA,27,5,MN-05,228856,228856
2012,MN,MINNESOTA,27,5,MN-05,351969,351969
2014,MN,MINNESOTA,27,5,MN-05,236010,236010
2016,MN,MINNESOTA,27,5,MN-05,361875,361875
2018,MN,MINNESOTA,27,5,MN-05,343358,343358
2020,MN,MINNESOTA,27,5,MN-05,398229,398229
2022,MN,MINNESOTA,27,5,MN-05,288206,288206
2024,MN,MINNESOTA,27,5,MN-05,351047,351047
1976,MN,MINNESOTA,27,6,MN-06,246708,246708
1978,MN,MINNESOTA,27,6,MN-06,209632,209632
1980,MN,MINNESOTA,27,6,MN-06,266584,266584
1982,MN,MINNESOTA,27,6,MN-06,214980,214980
1984,MN,MINNESOTA,27,6,MN-06,255692,255692
1986,MN,MINNESOTA,27,6,MN-06,168077,168077
1988,MN,MINNESOTA,27,6,MN-06,259035,259035
1990,MN,MINNESOTA,27,6,MN-06,255219,255219
1992,MN,MINNESOTA,27,6,MN-06,301023,301023
1994,MN,MINNESOTA,27,6,MN-06,227775,227775
1996,MN,MINNESOTA,27,6,MN-06,295481,295481
1998,MN,MINNESOTA,27,6,MN-06,297701,297701
2000,MN,MINNESOTA,27,6,MN-06,355824,355824
2002,MN,MINNESOTA,27,6,MN-06,287312,287312
2004,MN,MINNESOTA,27,6,MN-06,377224,377224
2006,MN,MINNESOTA,27,6,MN-06,302188,302188
2008,MN,MINNESOTA,27,6,MN-06,404725,404725
2010,MN,MINNESOTA,27,6,MN-06,303691,303691
2012,MN,MINNESOTA,27,6,MN-06,355153,355153
2014,MN,MINNESOTA,27,6,MN-06,236846,236846
2016,MN,MINNESOTA,27,6,MN-06,358930,358930
2018,MN,MINNESOTA,27,6,MN-06,315726,315726
2020,MN,MINNESOTA,27,6,MN-06,412307,412307
2022,MN,MINNESOTA,27,6,MN-06,319767,319767
2024,MN,MINNESOTA,27,6,MN-06,416496,416496
1976,MN,MINNESOTA,27,7,MN-07,241627,241627
1978,MN,MINNESOTA,27,7,MN-07,206192,206192
1980,MN,MINNESOTA,27,7,MN-07,259113,259113
1982,MN,MINNESOTA,27,7,MN-07,215316,215316
1984,MN,MINNESOTA,27,7,MN-07,236839,236839
1986,MN,MINNESOTA,27,7,MN-07,189264,189264
1988,MN,MINNESOTA,27,7,MN-07,222496,222496
1990,MN,MINNESOTA,27,7,MN-07,200186,200186
1992,MN,MINNESOTA,27,7,MN-07,265524,265524
1994,MN,MINNESOTA,27,7,MN-07,211003,211003
1996,MN,MINNESOTA,27,7,MN-07,251599,251599
1998,MN,MINNESOTA,27,7,MN-07,236942,236942
2000,MN,MINNESOTA,27,7,MN-07,270496,270496
2002,MN,MINNESOTA,27,7,MN-07,260813,260813
2004,MN,MINNESOTA,27,7,MN-07,314257,314257
2006,MN,MINNESOTA,27,7,MN-07,257194,257194
2008,MN,MINNESOTA,27,7,MN-07,314680,314680
2010,MN,MINNESOTA,27,7,MN-07,241097,241097
2012,MN,MINNESOTA,27,7,MN-07,327576,327576
2014,MN,MINNESOTA,27,7,MN-07,240835,240835
2016,MN,MINNESOTA,27,7,MN-07,330823,330823
2018,MN,MINNESOTA,27,7,MN-07,281509,281509
2020,MN,MINNESOTA,27,7,MN-07,363477,363477
2022,MN,MINNESOTA,27,7,MN-07,305866,305866
2024,MN,MINNESOTA,27,7,MN-07,390510,390510
1976,MN,MINNESOTA,27,8,MN-08,206755,206755
1978,MN,MINNESOTA,27,8,MN-08,196294,196294
1980,MN,MINNESOTA,27,8,MN-08,258765,258765
1982,MN,MINNESOTA,27,8,MN-08,229859,229859
1984,MN,MINNESOTA,27,8,MN-08,246483,246483
1986,MN,MINNESOTA,27,8,MN-08,187045,187045
1988,MN,MINNESOTA,27,8,MN-08,222311,222311
1990,MN,MINNESOTA,27,8,MN-08,207312,207312
1992,MN,MINNESOTA,27,8,MN-08,283031,283031
1994,MN,MINNESOTA,27,8,MN-08,233271,233271
1996,MN,MINNESOTA,27,8,MN-08,275338,275338
1998,MN,MINNESOTA,27,8,MN-08,263263,263263
2000,MN,MINNESOTA,27,8,MN-08,309651,309651
2002,MN,MINNESOTA,27,8,MN-08,283931,283931
2004,MN,MINNESOTA,27,8,MN-08,350483,350483
2006,MN,MINNESOTA,27,8,MN-08,284016,284016
2008,MN,MINNESOTA,27,8,MN-08,357284,357284
2010,MN,MINNESOTA,27,8,MN-08,277081,277081
2012,MN,MINNESOTA,27,8,MN-08,353663,353663
2014,MN,MINNESOTA,27,8,MN-08,266083,266083
2016,MN,MINNESOTA,27,8,MN-08,356971,356971
2018,MN,MINNESOTA,27,8,MN-08,314211,314211
2020,MN,MINNESOTA,27,8,MN-08,393711,393711
2022,MN,MINNESOTA,27,8,MN-08,330080,330080
2024,MN,MINNESOTA,27,8,MN-08,421606,421606
1976,MO,MISSOURI,29,1,MO-01,133184,133184
1978,MO,MISSOURI,29,1,MO-01,99010,99010
1980,MO,MISSOURI,29,1,MO-01,129939,129939
1982,MO,MISSOURI,29,1,MO-01,155255,155255
1984,MO,MISSOURI,29,1,MO-01,215974,215974
1986,MO,MISSOURI,29,1,MO-01,137643,137643
1988,MO,MISSOURI,29,1,MO-01,196658,196658
1990,MO,MISSOURI,29,1,MO-01,102710,102710
1992,MO,MISSOURI,29,1,MO-01,233175,233175
1994,MO,MISSOURI,29,1,MO-01,153018,153018
1996,MO,MISSOURI,29,1,MO-01,187653,187653
1998,MO,MISSOURI,29,1,MO-01,125051,125051
2000,MO,MISSOURI,29,1,MO-01,198347,198347
2002,MO,MISSOURI,29,1,MO-01,191055,191055
2004,MO,MISSOURI,29,1,MO-01,283771,283771
2006,MO,MISSOURI,29,1,MO-01,194235,194235
2008,MO,MISSOURI,29,1,MO-01,279277,279277
2010,MO,MISSOURI,29,1,MO-01,184779,184779
2012,MO,MISSOURI,29,1,MO-01,340583,340583
2014,MO,MISSOURI,29,1,MO-01,163494,163494
2016,MO,MISSOURI,29,1,MO-01,314024,314024
2018,MO,MISSOURI,29,1,MO-01,274375,274375
2020,MO,MISSOURI,29,1,MO-01,316171,316171
2022,MO,MISSOURI,29,1,MO-01,220958,220958
2024,MO,MISSOURI,29,1,MO-01,307265,307265
1976,MO,MISSOURI,29,2,MO-02,218379,218379
1978,MO,MISSOURI,29,2,MO-02,182406,182406
1980,MO,MISSOURI,29,2,MO-02,229989,229989
1982,MO,MISSOURI,29,2,MO-02,178203,178203
1984,MO,MISSOURI,29,2,MO-02,268616,268616
1986,MO,MISSOURI,29,2,MO-02,194548,194548
1988,MO,MISSOURI,29,2,MO-02,281109,281109
1990,MO,MISSOURI,29,2,MO-02,188568,188568
1992,MO,MISSOURI,29,2,MO-02,312442,312442
1994,MO,MISSOURI,29,2,MO-02,230287,230287
1996,MO,MISSOURI,29,2,MO-02,270726,270726
1998,MO,MISSOURI,29,2,MO-02,203259,203259
2000,MO,MISSOURI,29,2,MO-02,298062,298062
2002,MO,MISSOURI,29,2,MO-02,248828,248828
2004,MO,MISSOURI,29,2,MO-02,349867,349867
2006,MO,MISSOURI,29,2,MO-02,287617,287617
2008,MO,MISSOURI,29,2,MO-02,372972,372972
2010,MO,MISSOURI,29,2,MO-02,265632,265632
2012,MO,MISSOURI,29,2,MO-02,394448,394448
2014,MO,MISSOURI,29,2,MO-02,231117,231117
2016,MO,MISSOURI,29,2,MO-02,413296,413296
2018,MO,MISSOURI,29,2,MO-02,376066,376066
2020,MO,MISSOURI,29,2,MO-02,449348,449348
2022,MO,MISSOURI,29,2,MO-02,315666,315666
2024,MO,MISSOURI,29,2,MO-02,428392,428392
1976,MO,MISSOURI,29,3,MO-03,180732,180732
1978,MO,MISSOURI,29,3,MO-03,148446,148446
1980,MO,MISSOURI,29,3,MO-03,184409,184409
1982,MO,MISSOURI,29,3,MO-03,168954,168954
1984,MO,MISSOURI,29,3,MO-03,193537,193537
1986,MO,MISSOURI,29,3,MO-03,168785,168785
1988,MO,MISSOURI,29,3,MO-03,239203,239203
1990,MO,MISSOURI,29,3,MO-03,156609,156609
1992,MO,MISSOURI,29,3,MO-03,271834,271834
1994,MO,MISSOURI,29,3,MO-03,203940,203940
1996,MO,MISSOURI,29,3,MO-03,232755,232755
1998,MO,MISSOURI,29,3,MO-03,176099,176099
2000,MO,MISSOURI,29,3,MO-03,254539,254539
2002,MO,MISSOURI,29,3,MO-03,206878,206878
2004,MO,MISSOURI,29,3,MO-03,277916,277916
2006,MO,MISSOURI,29,3,MO-03,221448,221448
2008,MO,MISSOURI,29,3,MO-03,305071,305071
2010,MO,MISSOURI,29,3,MO-03,203085,203085
2012,MO,MISSOURI,29,3,MO-03,338385,338385
2014,MO,MISSOURI,29,3,MO-03,191620,191620
2016,MO,MISSOURI,29,3,MO-03,368333,368333
2018,MO,MISSOURI,29,3,MO-03,324608,324608
2020,MO,MISSOURI,29,3,MO-03,407348,407348
2022,MO,MISSOURI,29,3,MO-03,277597,277597
2024,MO,MISSOURI,29,3,MO-03,392463,392463
1976,MO,MISSOURI,29,4,MO-04,207560,207560
1978,MO,MISSOURI,29,4,MO-04,165864,165864
1980,MO,MISSOURI,29,4,MO-04,223328,223328
1982,MO,MISSOURI,29,4,MO-04,175953,175953
1984,MO,MISSOURI,29,4,MO-04,225058,225058
1986,MO,MISSOURI,29,4,MO-04,129471,129471
1988,MO,MISSOURI,29,4,MO-04,231873,231873
1990,MO,MISSOURI,29,4,MO-04,170622,170622
1992,MO,MISSOURI,29,4,MO-04,251452,251452
1994,MO,MISSOURI,29,4,MO-04,203492,203492
1996,MO,MISSOURI,29,4,MO-04,240789,240789
1998,MO,MISSOURI,29,4,MO-04,187616,187616
2000,MO,MISSOURI,29,4,MO-04,269889,269889
2002,MO,MISSOURI,29,4,MO-04,210238,210238
2004,MO,MISSOURI,29,4,MO-04,288226,288226
2006,MO,MISSOURI,29,4,MO-04,235525,235525
2008,MO,MISSOURI,29,4,MO-04,303455,303455
2010,MO,MISSOURI,29,4,MO-04,225056,225056
2012,MO,MISSOURI,29,4,MO-04,318723,318723
2014,MO,MISSOURI,29,4,MO-04,176286,176286
2016,MO,MISSOURI,29,4,MO-04,332234,332234
2018,MO,MISSOURI,29,4,MO-04,293316,293316
2020,MO,MISSOURI,29,4,MO-04,362836,362836
2022,MO,MISSOURI,29,4,MO-04,255079,255079
2024,MO,MISSOURI,29,4,MO-04,365696,365696
1976,MO,MISSOURI,29,5,MO-05,148302,148302
1978,MO,MISSOURI,29,5,MO-05,114131,114131
1980,MO,MISSOURI,29,5,MO-05,158266,158266
1982,MO,MISSOURI,29,5,MO-05,165989,165989
1984,MO,MISSOURI,29,5,MO-05,228220,228220
1986,MO,MISSOURI,29,5,MO-05,142574,142574
1988,MO,MISSOURI,29,5,MO-05,212139,212139
1990,MO,MISSOURI,29,5,MO-05,115787,115787
1992,MO,MISSOURI,29,5,MO-05,255312,255312
1994,MO,MISSOURI,29,5,MO-05,177511,177511
1996,MO,MISSOURI,29,5,MO-05,213971,213971
1998,MO,MISSOURI,29,5,MO-05,153685,153685
2000,MO,MISSOURI,29,5,MO-05,232137,232137
2002,MO,MISSOURI,29,5,MO-05,186167,186167
2004,MO,MISSOURI,29,5,MO-05,293025,293025
2006,MO,MISSOURI,29,5,MO-05,211919,211919
2008,MO,MISSOURI,29,5,MO-05,306415,306415
2010,MO,MISSOURI,29,5,MO-05,191423,191423
2012,MO,MISSOURI,29,5,MO-05,330942,330942
2014,MO,MISSOURI,29,5,MO-05,153635,153635
2016,MO,MISSOURI,29,5,MO-05,324270,324270
2018,MO,MISSOURI,29,5,MO-05,283785,283785
2020,MO,MISSOURI,29,5,MO-05,352430,352430
2022,MO,MISSOURI,29,5,MO-05,230555,230555
2024,MO,MISSOURI,29,5,MO-05,331929,331929
1976,MO,MISSOURI,29,6,MO-06,206661,206661
1978,MO,MISSOURI,29,6,MO-06,172635,172635
1980,MO,MISSOURI,29,6,MO-06,211329,211329
1982,MO,MISSOURI,29,6,MO-06,177046,177046
1984,MO,MISSOURI,29,6,MO-06,232913,232913
1986,MO,MISSOURI,29,6,MO-06,169020,169020
1988,MO,MISSOURI,29,6,MO-06,229011,229011
1990,MO,MISSOURI,29,6,MO-06,152049,152049
1992,MO,MISSOURI,29,6,MO-06,268524,268524
1994,MO,MISSOURI,29,6,MO-06,211817,211817
1996,MO,MISSOURI,29,6,MO-06,246282,246282
1998,MO,MISSOURI,29,6,MO-06,192777,192777
2000,MO,MISSOURI,29,6,MO-06,273201,273201
2002,MO,MISSOURI,29,6,MO-06,208088,208088
2004,MO,MISSOURI,29,6,MO-06,307855,307855
2006,MO,MISSOURI,29,6,MO-06,244795,244795
2008,MO,MISSOURI,29,6,MO-06,330699,330699
2010,MO,MISSOURI,29,6,MO-06,221912,221912
2012,MO,MISSOURI,29,6,MO-06,333688,333688
2014,MO,MISSOURI,29,6,MO-06,186970,186970
2016,MO,MISSOURI,29,6,MO-06,350444,350444
2018,MO,MISSOURI,29,6,MO-06,305409,305409
2020,MO,MISSOURI,29,6,MO-06,385779,385779
2022,MO,MISSOURI,29,6,MO-06,262892,262892
2024,MO,MISSOURI,29,6,MO-06,375186,375186
1976,MO,MISSOURI,29,7,MO-07,215504,215504
1978,MO,MISSOURI,29,7,MO-07,170917,170917
1980,MO,MISSOURI,29,7,MO-07,238512,238512
1982,MO,MISSOURI,29,7,MO-07,180940,180940
1984,MO,MISSOURI,29,7,MO-07,236453,236453
1986,MO,MISSOURI,29,7,MO-07,170501,170501
1988,MO,MISSOURI,29,7,MO-07,240911,240911
1990,MO,MISSOURI,29,7,MO-07,160334,160334
1992,MO,MISSOURI,29,7,MO-07,260065,260065
1994,MO,MISSOURI,29,7,MO-07,195916,195916
1996,MO,MISSOURI,29,7,MO-07,250584,250584
1998,MO,MISSOURI,29,7,MO-07,178801,178801
2000,MO,MISSOURI,29,7,MO-07,273937,273937
2002,MO,MISSOURI,29,7,MO-07,199863,199863
2004,MO,MISSOURI,29,7,MO-07,298205,298205
2006,MO,MISSOURI,29,7,MO-07,241123,241123
2008,MO,MISSOURI,29,7,MO-07,323212,323212
2010,MO,MISSOURI,29,7,MO-07,222431,222431
2012,MO,MISSOURI,29,7,MO-07,318740,318740
2014,MO,MISSOURI,29,7,MO-07,163957,163957
2016,MO,MISSOURI,29,7,MO-07,338607,338607
2018,MO,MISSOURI,29,7,MO-07,296455,296455
2020,MO,MISSOURI,29,7,MO-07,369283,369283
2022,MO,MISSOURI,29,7,MO-07,251947,251947
2024,MO,MISSOURI,29,7,MO-07,367868,367868
1976,MO,MISSOURI,29,8,MO-08,196647,196647
1978,MO,MISSOURI,29,8,MO-08,159618,159618
1980,MO,MISSOURI,29,8,MO-08,223426,223426
1982,MO,MISSOURI,29,8,MO-08,162906,162906
1984,MO,MISSOURI,29,8,MO-08,205108,205108
1986,MO,MISSOURI,29,8,MO-08,150674,150674
1988,MO,MISSOURI,29,8,MO-08,202402,202402
1990,MO,MISSOURI,29,8,MO-08,142203,142203
1992,MO,MISSOURI,29,8,MO-08,234418,234418
1994,MO,MISSOURI,29,8,MO-08,185586,185586
1996,MO,MISSOURI,29,8,MO-08,222854,222854
1998,MO,MISSOURI,29,8,MO-08,166524,166524
2000,MO,MISSOURI,29,8,MO-08,234066,234066
2002,MO,MISSOURI,29,8,MO-08,188321,188321
2004,MO,MISSOURI,29,8,MO-08,268711,268711
2006,MO,MISSOURI,29,8,MO-08,217989,217989
2008,MO,MISSOURI,29,8,MO-08,278288,278288
2010,MO,MISSOURI,29,8,MO-08,195999,195999
2012,MO,MISSOURI,29,8,MO-08,300391,300391
2014,MO,MISSOURI,29,8,MO-08,159224,159224
2016,MO,MISSOURI,29,8,MO-08,308871,308871
2018,MO,MISSOURI,29,8,MO-08,264399,264399
2020,MO,MISSOURI,29,8,MO-08,330226,330226
2022,MO,MISSOURI,29,8,MO-08,245395,245395
2024,MO,MISSOURI,29,8,MO-08,356064,356064
1976,MO,MISSOURI,29,9,MO-09,215141,215141
1978,MO,MISSOURI,29,9,MO-09,180965,180965
1980,MO,MISSOURI,29,9,MO-09,240740,240740
1982,MO,MISSOURI,29,9,MO-09,163170,163170
1984,MO,MISSOURI,29,9,MO-09,233688,233688
1986,MO,MISSOURI,29,9,MO-09,166911,166911
1988,MO,MISSOURI,29,9,MO-09,236880,236880
1990,MO,MISSOURI,29,9,MO-09,163670,163670
1992,MO,MISSOURI,29,9,MO-09,261335,261335
1994,MO,MISSOURI,29,9,MO-09,204942,204942
1996,MO,MISSOURI,29,9,MO-09,250230,250230
1998,MO,MISSOURI,29,9,MO-09,188305,188305
2000,MO,MISSOURI,29,9,MO-09,291610,291610
2002,MO,MISSOURI,29,9,MO-09,214125,214125
2004,MO,MISSOURI,29,9,MO-09,299447,299447
2006,MO,MISSOURI,29,9,MO-09,242671,242671
2008,MO,MISSOURI,29,9,MO-09,322095,322095
2010,MO,MISSOURI,29,9,MO-09,210358,210358
1976,MO,MISSOURI,29,10,MO-10,182699,182699
1978,MO,MISSOURI,29,10,MO-10,151835,151835
1980,MO,MISSOURI,29,10,MO-10,210632,210632
1976,MS,MISSISSIPPI,28,1,MS-01,93687,93687
1978,MS,MISSISSIPPI,28,1,MS-01,86151,86151
1980,MS,MISSISSIPPI,28,1,MS-01,165561,165561
1982,MS,MISSISSIPPI,28,1,MS-01,112476,112476
1984,MS,MISSISSIPPI,28,1,MS-01,154521,154521
1986,MS,MISSISSIPPI,28,1,MS-01,90137,90137
1988,MS,MISSISSIPPI,28,1,MS-01,175826,175826
1990,MS,MISSISSIPPI,28,1,MS-01,67318,67318
1992,MS,MISSISSIPPI,28,1,MS-01,204616,204616
1994,MS,MISSISSIPPI,28,1,MS-01,127745,127745
1996,MS,MISSISSIPPI,28,1,MS-01,182966,182966
1998,MS,MISSISSIPPI,28,1,MS-01,99333,99333
2000,MS,MISSISSIPPI,28,1,MS-01,209040,209040
2002,MS,MISSISSIPPI,28,1,MS-01,133567,133567
2004,MS,MISSISSIPPI,28,1,MS-01,277584,277584
2006,MS,MISSISSIPPI,28,1,MS-01,144272,144272
2008,MS,MISSISSIPPI,28,1,MS-01,341389,341389
2010,MS,MISSISSIPPI,28,1,MS-01,219093,219093
2012,MS,MISSISSIPPI,28,1,MS-01,309177,309177
2014,MS,MISSISSIPPI,28,1,MS-01,151111,151111
2016,MS,MISSISSIPPI,28,1,MS-01,300423,300423
2018,MS,MISSISSIPPI,28,1,MS-01,236521,236521
2020,MS,MISSISSIPPI,28,1,MS-01,332795,332795
2022,MS,MISSISSIPPI,28,1,MS-01,167389,167389
2024,MS,MISSISSIPPI,28,1,MS-01,320286,320286
1976,MS,MISSISSIPPI,28,2,MS-02,119173,119173
1978,MS,MISSISSIPPI,28,2,MS-02,93408,93408
1980,MS,MISSISSIPPI,28,2,MS-02,139050,139050
1982,MS,MISSISSIPPI,28,2,MS-02,147873,147873
1984,MS,MISSISSIPPI,28,2,MS-02,182420,182420
1986,MS,MISSISSIPPI,28,2,MS-02,141411,141411
1988,MS,MISSISSIPPI,28,2,MS-02,173631,173631
1990,MS,MISSISSIPPI,28,2,MS-02,70617,70617
1992,MS,MISSISSIPPI,28,2,MS-02,174609,174609
1994,MS,MISSISSIPPI,28,2,MS-02,126692,126692
1996,MS,MISSISSIPPI,28,2,MS-02,171933,171933
1998,MS,MISSISSIPPI,28,2,MS-02,112817,112817
2000,MS,MISSISSIPPI,28,2,MS-02,173307,173307
2002,MS,MISSISSIPPI,28,2,MS-02,163050,163050
2004,MS,MISSISSIPPI,28,2,MS-02,264869,264869
2006,MS,MISSISSIPPI,28,2,MS-02,155832,155832
2008,MS,MISSISSIPPI,28,2,MS-02,291970,291970
2010,MS,MISSISSIPPI,28,2,MS-02,171356,171356
2012,MS,MISSISSIPPI,28,2,MS-02,320244,320244
2014,MS,MISSISSIPPI,28,2,MS-02,148646,148646
2016,MS,MISSISSIPPI,28,2,MS-02,286626,286626
2018,MS,MISSISSIPPI,28,2,MS-02,221379,221379
2020,MS,MISSISSIPPI,28,2,MS-02,297234,297234
2022,MS,MISSISSIPPI,28,2,MS-02,180169,180169
2024,MS,MISSISSIPPI,28,2,MS-02,286841,286841
1976,MS,MISSISSIPPI,28,3,MS-03,137409,137409
