State,State_Code,District,NAME,Total_Population,Median_Household_Income,Median_Home_Value,Median_Age,White_Alone,Black_or_African_American_Alone,Hispanic_or_Latino,Citizen_Voting_Age_Population
Texas,48,1,"Congressional District 1 (119th Congress), Texas",795955,66563,216800,38.6,505374,132210,145446,571543
Texas,48,2,"Congressional District 2 (119th Congress), Texas",882070,101405,337800,36.5,476846,125473,287495,585013
Texas,48,3,"Congressional District 3 (119th Congress), Texas",920628,124853,501800,38.3,498979,101562,163234,620921
Texas,48,4,"Congressional District 4 (119th Congress), Texas",874662,99301,437300,38.0,531763,81566,134704,585914
Texas,48,5,"Congressional District 5 (119th Congress), Texas",856312,75301,295600,37.0,424352,130800,287280,570315
Texas,48,6,"Congressional District 6 (119th Congress), Texas",848575,81604,318300,35.4,427003,125166,308836,548716
Texas,48,7,"Congressional District 7 (119th Congress), Texas",770214,75245,399400,35.2,228297,155092,241459,468302
Texas,48,8,"Congressional District 8 (119th Congress), Texas",946825,91806,329100,37.3,469113,124312,307722,612356
Texas,48,9,"Congressional District 9 (119th Congress), Texas",822791,62248,278400,34.3,148907,306401,330304,466036
Texas,48,10,"Congressional District 10 (119th Congress), Texas",832921,89284,398000,37.1,501201,65393,223156,590106
Texas,48,11,"Congressional District 11 (119th Congress), Texas",802030,71363,245200,34.2,427033,99891,333205,542289
Texas,48,12,"Congressional District 12 (119th Congress), Texas",852259,90319,355100,35.4,517272,104526,208784,599336
Texas,48,13,"Congressional District 13 (119th Congress), Texas",799858,69873,216100,35.8,526150,55152,236706,564212
Texas,48,14,"Congressional District 14 (119th Congress), Texas",787873,77652,270100,39.1,445212,113254,218686,562366
Texas,48,15,"Congressional District 15 (119th Congress), Texas",812527,62554,197300,33.2,260646,11670,659694,465879
Texas,48,16,"Congressional District 16 (119th Congress), Texas",784072,60456,212500,34.4,238799,27494,648297,510725
Texas,48,17,"Congressional District 17 (119th Congress), Texas",798340,69771,273900,36.7,449283,113898,225095,579385
Texas,48,18,"Congressional District 18 (119th Congress), Texas",825192,66803,270600,33.2,195343,248187,394724,486799
Texas,48,19,"Congressional District 19 (119th Congress), Texas",787118,64889,185000,34.0,490757,44857,315191,560194
Texas,48,20,"Congressional District 20 (119th Congress), Texas",766778,62044,241600,34.1,277708,47977,551915,511688
Texas,48,21,"Congressional District 21 (119th Congress), Texas",846025,100260,442300,41.9,546402,39945,270013,636521
Texas,48,22,"Congressional District 22 (119th Congress), Texas",894683,115961,393300,38.0,395908,115319,264688,569154
Texas,48,23,"Congressional District 23 (119th Congress), Texas",806011,81908,295100,35.0,351673,31825,509205,529912
Texas,48,24,"Congressional District 24 (119th Congress), Texas",772892,119295,507200,39.7,496063,57873,139515,538649
Texas,48,25,"Congressional District 25 (119th Congress), Texas",826421,80242,326100,38.1,501775,109704,205392,590507
Texas,48,26,"Congressional District 26 (119th Congress), Texas",884703,122953,469500,38.8,497506,88856,176758,615404
Texas,48,27,"Congressional District 27 (119th Congress), Texas",793985,69138,238900,38.7,410059,34150,439382,564344
Texas,48,28,"Congressional District 28 (119th Congress), Texas",825116,64511,220700,33.3,302618,44842,616057,513780
Texas,48,29,"Congressional District 29 (119th Congress), Texas",755796,54102,215600,33.3,161578,95729,581242,388721
Texas,48,30,"Congressional District 30 (119th Congress), Texas",788414,77231,289800,34.3,194542,310588,290259,529695
Texas,48,31,"Congressional District 31 (119th Congress), Texas",901458,96045,402000,37.2,557126,71426,224891,624561
Texas,48,32,"Congressional District 32 (119th Congress), Texas",765626,72478,369300,33.1,269596,165425,272298,471355
Texas,48,33,"Congressional District 33 (119th Congress), Texas",790618,66107,259400,32.3,174169,135922,475382,403299
Texas,48,34,"Congressional District 34 (119th Congress), Texas",796178,54486,149700,32.5,247858,7303,720205,458666
Texas,48,35,"Congressional District 35 (119th Congress), Texas",873155,73298,325600,33.3,352866,106139,460562,580761
Texas,48,36,"Congressional District 36 (119th Congress), Texas",816162,76372,255800,36.2,420316,97624,295507,550378
Texas,48,37,"Congressional District 37 (119th Congress), Texas",775784,93776,630300,35.3,454887,52095,211772,560096
Texas,48,38,"Congressional District 38 (119th Congress), Texas",810804,98753,395700,37.8,405223,83297,227244,521569
Utah,49,1,"Congressional District 1 (119th Congress), Utah",871848,92358,517200,32.4,733140,9095,125917,613462
Utah,49,2,"Congressional District 2 (119th Congress), Utah",880783,90523,493700,34.9,643589,14001,179253,607458
Utah,49,3,"Congressional District 3 (119th Congress), Utah",830117,96440,611400,31.4,656944,6157,111421,578180
Utah,49,4,"Congressional District 4 (119th Congress), Utah",920865,109469,558900,31.2,681037,13966,175821,588943
Virginia,51,1,"Congressional District 1 (119th Congress), Virginia",823798,100817,440100,42.6,581484,99819,53070,622101
Virginia,51,2,"Congressional District 2 (119th Congress), Virginia",788048,93827,397800,39.9,473557,175006,66430,589306
Virginia,51,3,"Congressional District 3 (119th Congress), Virginia",775248,67625,288000,35.0,308557,335320,73704,584633
Virginia,51,4,"Congressional District 4 (119th Congress), Virginia",810465,69839,309900,37.6,344761,329906,86583,616939
Virginia,51,5,"Congressional District 5 (119th Congress), Virginia",805334,73090,315600,41.8,559217,156785,37458,634209
Virginia,51,6,"Congressional District 6 (119th Congress), Virginia",797837,74264,314200,41.2,626214,62693,75026,614736
Virginia,51,7,"Congressional District 7 (119th Congress), Virginia",825445,113690,467800,37.2,434457,167624,157292,569922
Virginia,51,8,"Congressional District 8 (119th Congress), Virginia",788825,133323,779100,37.6,400529,102520,163706,543821
Virginia,51,9,"Congressional District 9 (119th Congress), Virginia",782270,59156,197500,43.9,675738,41065,28114,630829
Virginia,51,10,"Congressional District 10 (119th Congress), Virginia",821178,157863,706600,39.1,430901,69703,155160,535956
Virginia,51,11,"Congressional District 11 (119th Congress), Virginia",792747,158109,759300,39.6,389088,65064,121290,538365
Washington,53,1,"Congressional District 1 (119th Congress), Washington",810553,131159,871500,37.4,463500,21430,79433,528740
Washington,53,2,"Congressional District 2 (119th Congress), Washington",789531,90998,656300,40.8,554314,24028,110752,599073
Washington,53,3,"Congressional District 3 (119th Congress), Washington",802855,92354,506700,41.0,613469,16987,98055,602881
Washington,53,4,"Congressional District 4 (119th Congress), Washington",794949,78605,390500,35.6,431780,9322,339966,509222
Washington,53,6,"Congressional District 6 (119th Congress), Washington",799758,94385,535700,42.3,585914,24521,88223,624627
Washington,53,7,"Congressional District 7 (119th Congress), Washington",811726,119340,931600,36.0,494868,38222,86150,613289
Washington,53,8,"Congressional District 8 (119th Congress), Washington",794910,130695,726100,40.2,533372,17627,95048,552532
