Dist,2025 Incumbent,Party,District description,2025 PVI,"2025 PVI Rank
Sortable",
CA-02,Jared Huffman,D,"Northern coast: Marin County, Mendocino",D+24,36,
CA-03,Kevin Kiley,R,"North central: Sacramento exurbs, Lake Tahoe",R+2,224,
CA-04,Mike Thompson,D,"Santa Rosa, Napa, Davis",D+17,84,
CA-05,Tom McClintock,R,"Western Sierras: parts of Modesto, Fresno",R+8,287,
CA-06,Ami Bera,D,Northern Sacramento County: Rancho Cordova,D+8,143,
CA-07,Doris Matsui,D,"Central Sacramento, Elk Grove",D+16,87,
CA-08,John Garamendi,D,"Bay Area: Richmond, Vallejo, Fairfield",D+24,37,
CA-09,Josh Harder,D,"San Joaquin County: Stockton, Tracy",D+1,205,
CA-10,Mark DeSaulnier,D,East Bay: most of Contra Costa County,D+18,71,
CA-11,Nancy Pelosi,D,Most of San Francisco,D+36,6,
CA-12,Lateefah Simon,D,"East Bay: Oakland, Berkeley",D+39,2,
CA-13,Adam Gray,D,"Central Valley: Modesto, Merced, Madera",R+1,220,
CA-14,Eric Swalwell,D,"East Bay: Hayward, Fremont",D+20,59,
CA-15,Kevin Mullin,D,Bay Area: most of San Mateo County,D+26,26,
CA-16,Sam Liccardo,D,"Silicon Valley: Palo Alto, Mountain View",D+26,27,
CA-17,Ro Khanna,D,"South Bay: Milpitas, Santa Clara, Cupertino",D+21,52,
CA-18,Zoe Lofgren,D,"Parts of San Jose, Salinas, Watsonville",D+17,81,
CA-19,Jimmy Panetta,D,"Central Coast: Monterey, Santa Cruz",D+18,70,
CA-20,Vince Fong,R,"Central Valley: parts of Bakersfield, Clovis",R+15,360,
CA-21,Jim Costa,D,"Central Valley: Fresno, Visalia",D+4,173,
CA-22,David Valadao,R,"Central Valley: parts of Bakersfield, Hanford",R+1,218,
CA-23,Jay Obernolte,R,"San Bernardino County: Victorville, Hesperia",R+8,278,
CA-24,Salud Carbajal,D,"Central Coast: Santa Barbara, San Luis Obispo",D+13,94,
CA-25,Raul Ruiz,D,"Inland Empire: Hemet, Indio",D+3,186,
CA-26,Julia Brownley,D,"Ventura County: Oxnard, Thousand Oaks",D+8,144,
CA-27,George Whitesides,D,"Northern LA County: Santa Clarita, Lancaster, Palmdale",D+3,184,
