Dist,First,Last,Party,2005 PVI,2005 Raw PVI,Rank
NM-02,Steve,Pearce,R,R+7,R+6.76,291
NM-03,Tom,Udall,D,D+5,D+5.03,150
NY-01,Tim,Bishop,D,D+2,D+1.74,181
NY-02,Steve,Israel,D,D+6,D+6.04,140
NY-03,Peter T.,King,R,EVEN,D+0.07,190
NY-04,Carolyn,McCarthy,D,D+8,D+7.56,127
NY-05,Gary,Ackerman,D,D+16,D+15.64,67
NY-06,Gregory,Meeks,D,D+37,D+36.89,7
NY-07,Joe,Crowley,D,D+26,D+26.27,28
NY-08,Jerry,Nadler,D,D+26,D+25.67,32
NY-09,Anthony,Weiner,D,D+10,D+10.3,103
NY-10,Edolphus,Towns,D,D+39,D+38.96,3
NY-11,Major,Owens,D,D+39,D+38.63,4
NY-12,Nydia,Velázquez,D,D+33,D+32.81,17
NY-13,Vito,Fossella,R,R+2,R+1.88,212
NY-14,Carolyn,Maloney,D,D+26,D+26.05,30
NY-15,Charles,Rangel,D,D+42,D+42.1,1
NY-16,José E.,Serrano,D,D+42,D+41.83,2
NY-17,Eliot,Engel,D,D+19,D+19.15,51
NY-18,Nita,Lowey,D,D+9,D+9.25,114
NY-19,Sue W.,Kelly,R,R+3,R+2.63,219
NY-20,John E.,Sweeney,R,R+3,R+2.99,228
NY-21,Michael R.,McNulty,D,D+8,D+7.64,125
NY-22,Maurice,Hinchey,D,D+5,D+5.37,147
NY-23,John M.,McHugh,R,R+1,R+0.94,205
NY-24,Sherwood,Boehlert,R,R+2,R+1.57,209
NY-25,James T.,Walsh,R,D+3,D+2.57,170
NY-26,Thomas M.,Reynolds,R,R+5,R+4.58,250
NY-27,Brian,Higgins,D,D+6,D+5.87,143
NY-28,Louise,Slaughter,D,D+14,D+14.4,73
NY-29,Randy,Kuhl,R,R+6,R+6.02,277
NC-01,Frank,Ballance,D,D+8,D+8.38,122
NC-02,Bob,Etheridge,D,R+3,R+3.24,231
NC-03,Walter B.,Jones Jr.,R,R+16,R+16.32,401
NC-04,David,Price,D,D+6,D+5.96,142
